"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES UNDERLYING DRS (C1)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","AS ON DATE","ACTION"
"Jocil Limited","55.02","44.98",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155915_422444_06042021123723_WEB.xml"
"Neuland Laboratories Limited","36.22","63.78",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155920_422465_06042021125205_WEB.xml"
"GlaxoSmithKline Pharmaceuticals Limited","75","25",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155921_422476_06042021010047_WEB.xml"
"Satia Industries Limited","51.79","48.21",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155922_422499_06042021011950_WEB.xml"
"Quick Heal Technologies Limited","72.83","27.16",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155924_422507_06042021012619_WEB.xml"
"Manaksia Limited","74.93","25.07",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155925_422515_06042021013750_WEB.xml"
"Manaksia Steels Limited","74.75","25.25",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155926_422541_06042021020007_WEB.xml"
"Zydus Wellness Limited","64.82","35.18",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155927_422551_06042021020539_WEB.xml"
"BASF India Limited","73.33","26.67",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155928_422577_06042021022017_WEB.xml"
"Precision Camshafts Limited","65.37","34.63",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155929_422586_06042021022417_WEB.xml"
"Natco Pharma Limited","48.87","51.13",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155933_422644_06042021025324_WEB.xml"
"Tribhovandas Bhimji Zaveri Limited","74.12","25.88",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155935_422685_06042021031501_WEB.xml"
"21st Century Management Services Limited","60.63","39.37",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155938_422697_06042021032024_WEB.xml"
