"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES UNDERLYING DRS (C1)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","AS ON DATE","ACTION"
"Berger Paints (I) Limited","74.98","25.02",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156753_431263_13042021013813_WEB.xml"
"Rajdarshan Industries Limited","65.43","34.57",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156755_431279_13042021014855_WEB.xml"
"Anupam Rasayan India Limited","65.4","34.6",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156756_431282_13042021014949_WEB.xml"
"Pilani Investment and Industries Corporation Limited","57.55","42.46",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156757_431297_13042021015711_WEB.xml"
"Selan Exploration Technology Limited","30.09","69.91",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156758_431299_13042021015743_WEB.xml"
"Donear Industries Limited","74.56","25.44",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156759_431307_13042021015950_WEB.xml"
"Sagardeep Alloys Limited","73.62","26.38",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156760_431330_13042021020902_WEB.xml"
"Gandhi Special Tubes Limited","73.39","26.61",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156761_431332_13042021021005_WEB.xml"
"Ace Integrated Solutions Limited","73.52","26.47",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156762_431336_13042021021050_WEB.xml"
"Patspin India Limited","65","35",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156763_431340_13042021021801_WEB.xml"
"GTN Textiles Limited","63.36","36.64",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156764_431345_13042021022026_WEB.xml"
"Hindcon Chemicals Limited","67.88","32.12",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156765_431357_13042021022406_WEB.xml"
"Maan Aluminium Limited","65.32","34.68",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156766_431361_13042021022423_WEB.xml"
