"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING (%)B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT","BROADCAST DATE"
"Bank Of Baroda","4620566586","3308184689","    71.60","1312381897","0","     0.00","     0.00","09-Apr-2021 11:30:17","71248395","5135393917","1.39","09-Apr-2021 11:30:17"
"Bank Of India","3276923350","2919690866","    89.10","357232484","0","     0.00","     0.00","09-Apr-2021 11:30:17","16665227","3263245436","0.51","09-Apr-2021 11:30:17"
"Bank of Maharashtra","6560158901","6122627927","    93.33","437530974","0","     0.00","     0.00","09-Apr-2021 11:30:21","23028453","6553557143","0.35","09-Apr-2021 11:30:21"
"Bannari Amman Spinning Mills Limited","15754269","8751250","    55.55","7003019",,,,"09-Apr-2021 11:30:23","266568","31508526","0.85","09-Apr-2021 11:30:23"
"Bannari Amman Sugars Limited","12539700","7360276","    58.70","5179424","0","     0.00","     0.00","09-Apr-2021 11:30:10","485328","12272837","3.95","09-Apr-2021 11:30:10"
"Banswara Syntex Limited","17116042","10076001","    58.87","7040041","0","     0.00","     0.00","09-Apr-2021 11:30:26","232463","16848248","1.38","09-Apr-2021 11:30:26"
"Barak Valley Cements Limited","22160000","12517127","    56.49","9642873","0","     0.00","     0.00","09-Apr-2021 11:30:28","101932","21487994","0.47","09-Apr-2021 11:30:28"
"Bartronics India Limited","34048861","3591187","    10.55","30457674","15000","     0.42","     0.04","09-Apr-2021 11:30:23","777931","34048649","2.28","09-Apr-2021 11:30:23"
"Bata India Limited","128527540","68065514","    52.96","60462026","0","     0.00","     0.00","09-Apr-2021 11:30:07","1388244","127554928","1.09","09-Apr-2021 11:30:07"
"Beardsell Limited","28099008","17386480","    61.88","10712528","0","     0.00","     0.00","09-Apr-2021 11:30:30","68471","25640114","0.27","09-Apr-2021 11:30:30"
"Bedmutha Industries Limited","24531611","17496105","    71.32","7035506","7150749","    40.87","    29.15","09-Apr-2021 11:30:31","18029657","24515608","73.54","09-Apr-2021 11:30:31"
"Berger Paints (I) Limited","971295037","728319701","    74.98","242975336","0","     0.00","     0.00","09-Apr-2021 11:30:10","2964945","964115334","0.31","09-Apr-2021 11:30:10"
"Bhansali Engineering Polymers Limited","165905640","93652000","    56.45","72253640","0","     0.00","     0.00","09-Apr-2021 11:30:13","8402909","162604470","5.17","09-Apr-2021 11:30:13"
"Bharat Bijlee Limited","5651560","1890459","    33.45","3761101","0","     0.00","     0.00","09-Apr-2021 11:30:12","706995","5594432","12.64","09-Apr-2021 11:30:12"
"Bharat Electronics Limited","2436592943","1245973978","    51.14","1190618965","0","     0.00","     0.00","09-Apr-2021 11:30:15","17216201","2436339936","0.71","09-Apr-2021 11:30:15"
"Bharat Forge Limited","465588632","213062640","    45.76","252525992","0","     0.00","     0.00","09-Apr-2021 11:30:05","3179078","451700677","0.7","09-Apr-2021 11:30:05"
"Bharat Gears Limited","9306095","5148185","    55.32","4157910","0","     0.00","     0.00","09-Apr-2021 11:30:15","142605","9213521","1.55","09-Apr-2021 11:30:15"
"Bharat Heavy Electricals Limited","3482063355","2199650402","    63.17","1282412953","0","     0.00","     0.00","09-Apr-2021 11:30:15","102160636","3480884821","2.93","09-Apr-2021 11:30:15"
"Bharat Petroleum Corporation Limited","2169252744","1192562617","    54.98","976690127","0","     0.00","     0.00","09-Apr-2021 11:30:05","21895016","2147378290","1.02","09-Apr-2021 11:30:05"
"Bharat Rasayan Limited","4248740","3179204","    74.83","1069536","0","     0.00","     0.00","09-Apr-2021 11:30:10","46457","4145123","1.12","09-Apr-2021 11:30:10"
"Bharat Road Network Limited","83950000","45129800","    53.76","38820200","9999400","    22.16","    11.91","09-Apr-2021 11:30:35","15669156","83950000","18.66","09-Apr-2021 11:30:35"
"Bharat Wire Ropes Limited","62573203","23698494","    37.87","38874709","16386232","    69.14","    26.19","09-Apr-2021 11:30:34","17527737","44952241","38.99","09-Apr-2021 11:30:34"
"Bharati Defence and Infrastructure Limited","50298942","20412281","    40.58","29886661","20412281","   100.00","    40.58","09-Apr-2021 11:30:22","21153652","50297161","42.06","09-Apr-2021 11:30:22"
"Bharatiya Global Infomedia Limited","15843110","7735778","    48.83","8107332","5059335","    65.40","    31.93","09-Apr-2021 11:30:32","147296","15131359","0.97","09-Apr-2021 11:30:32"
"Bharti Airtel Limited","5455557355","3070947118","    56.29","2384610237","0","     0.00","     0.00","09-Apr-2021 11:30:20","30190462","5492023689","0.55","09-Apr-2021 11:30:20"
"Bhartiya International Limited","12202369","7001649","    57.38","5200720","0","     0.00","     0.00","09-Apr-2021 11:30:19","562987","12098434","4.65","09-Apr-2021 11:30:19"
"Bil Energy Systems Limited","211416000","98931240","    46.79","112484760","64299720","    64.99","    30.41","09-Apr-2021 11:30:31","65743163","210681680","31.2","09-Apr-2021 11:30:31"
"Binani Industries Limited","31366175","16503654","    52.62","14862521","0","     0.00","     0.00","09-Apr-2021 11:30:25","514469","29809393","1.73","09-Apr-2021 11:30:25"
"Biocon Limited","1200000000","739759117","    61.65","460240883","0","     0.00","     0.00","09-Apr-2021 11:30:21","12607347","1197256050","1.05","09-Apr-2021 11:30:21"
"Biofil Chemicals & Pharmaceuticals Limited","16273800","7618760","    46.82","8655040","0","     0.00","     0.00","09-Apr-2021 11:30:16","126374","15335990","0.82","09-Apr-2021 11:30:16"
"Birla Cable Limited","30000000","19905743","    66.35","10094257","1250000","     6.28","     4.17","09-Apr-2021 11:30:08","645515","28727158","2.25","09-Apr-2021 11:30:08"
"Birla Corporation Limited","77005347","48434191","    62.90","28571156","0","     0.00","     0.00","09-Apr-2021 11:30:15","2148611","76699548","2.8","09-Apr-2021 11:30:15"
"Birla Tyres Limited","142590079","75761340","    53.13","66828739","33959679","    44.82","    23.82","09-Apr-2021 11:30:35","44050796","141711353","31.08","09-Apr-2021 11:30:35"
"Bkm Industries Limited","65534050","34652535","    52.88","30881515","12300000","    35.50","    18.77","09-Apr-2021 11:30:34","13260430","65532948","20.23","09-Apr-2021 11:30:34"
"Bliss GVS Pharma Limited","103146672","34357024","    33.31","68789648","0","     0.00","     0.00","09-Apr-2021 11:30:31","4639861","101036163","4.59","09-Apr-2021 11:30:31"
"Blue Blends (I) Limited","21651213","11509470","    53.16","10141743","11480000","    99.74","    53.02","09-Apr-2021 11:30:14","11674165","19629363","59.47","09-Apr-2021 11:30:14"
"Blue Chip India Limited","55304340","6220270","    11.25","49084070","0","     0.00","     0.00","09-Apr-2021 11:30:17","2173700","54981573","3.95","09-Apr-2021 11:30:17"
"Blue Coast Hotels Limited","12748457","7826495","    61.39","4921962","55442","     0.71","     0.43","09-Apr-2021 11:30:19","70664","12671894","0.56","09-Apr-2021 11:30:19"
"Blue Dart Express Limited","23727934","17795950","    75.00","5931984","0","     0.00","     0.00","09-Apr-2021 11:30:10","284934","23676322","1.2","09-Apr-2021 11:30:10"
"Blue Star Limited","96313888","37332887","    38.76","58981001","0","     0.00","     0.00","09-Apr-2021 11:30:19","671492","94571245","0.71","09-Apr-2021 11:30:19"
"Bodal Chemicals Limited","122330165","72195662","    59.02","50134503","0","     0.00","     0.00","09-Apr-2021 11:30:32","10305324","121723691","8.47","09-Apr-2021 11:30:32"
"Bombay Burmah Trading Corporation Limited","69771900","46002345","    65.93","23769555","0","     0.00","     0.00","09-Apr-2021 11:30:13","893399","62731438","1.42","09-Apr-2021 11:30:13"
"Bombay Dyeing & Mfg Company Limited","206534900","110847211","    53.67","95687689","0","     0.00","     0.00","09-Apr-2021 11:30:13","16308864","204044827","7.99","09-Apr-2021 11:30:13"
"Bombay Rayon Fashions Limited","317476479","111583832","    35.15","205892647","55736595","    49.95","    17.56","09-Apr-2021 11:30:23","57595748","317472175","18.14","09-Apr-2021 11:30:23"
"Bosch Limited","29493640","20805224","    70.54","8688416","0","     0.00","     0.00","09-Apr-2021 11:30:07","120318","29390408","0.41","09-Apr-2021 11:30:07"
"Bpl Limited","48884818","30916792","    63.24","17968026","0","     0.00","     0.00","09-Apr-2021 11:30:13","1111686","48364487","2.3","09-Apr-2021 11:30:13"
"Brigade Enterprises Limited","210913636","101292446","    48.03","109621190","0","     0.00","     0.00","09-Apr-2021 11:30:28","907915","210913443","0.43","09-Apr-2021 11:30:28"
"Brightcom Group Limited","507651499","186627685","    36.76","321023814","59544862","    31.91","    11.73","09-Apr-2021 11:30:34","36798471","506643114","7.26","09-Apr-2021 11:30:34"
"Britannia Industries Limited","240868296","121752892","    50.55","119115404","0","     0.00","     0.00","09-Apr-2021 11:30:12","1630017","237966774","0.68","09-Apr-2021 11:30:12"
"Brooks Laboratories Limited","24702812","16406249","    66.41","8296563","0","     0.00","     0.00","09-Apr-2021 11:30:32","1152939","24700812","4.67","09-Apr-2021 11:30:32"
"Burnpur Cement Limited","86124363","23740973","    27.57","62383390","21859826","    92.08","    25.38","09-Apr-2021 11:30:28","24042983","86106409","27.92","09-Apr-2021 11:30:28"
"Butterfly Gandhimathi Appliances Limited","17879551","11582272","    64.78","6297279","0","     0.00","     0.00","09-Apr-2021 11:30:33","652349","17215083","3.79","09-Apr-2021 11:30:33"
"C & C Constructions Limited","25445265","8233162","    32.36","17212103","6460858","    78.47","    25.39","09-Apr-2021 11:30:26","7176320","25431186","28.22","09-Apr-2021 11:30:26"
"CARE Ratings Limited","29461214","0","     0.00","29461214","0",,"     0.00","09-Apr-2021 11:30:33","1294517","29460913","4.39","09-Apr-2021 11:30:33"
"CCL Products (India) Limited","133027920","61449342","    46.19","71578578","0","     0.00","     0.00","09-Apr-2021 11:30:21","1935569","132218997","1.46","09-Apr-2021 11:30:21"
"CEAT Limited","40450092","18940298","    46.82","21509794","0","     0.00","     0.00","09-Apr-2021 11:30:28","446061","40032160","1.11","09-Apr-2021 11:30:28"
"CESC Limited","132557043","66172209","    49.92","66384834","0","     0.00","     0.00","09-Apr-2021 11:30:15","1849774","131344437","1.41","09-Apr-2021 11:30:15"
"CG Power and Industrial Solutions Limited","1337998029","711813686","    53.20","626184343","682378995","    95.86","    51.00","09-Apr-2021 11:30:15","39567106","1334603743","2.96","09-Apr-2021 11:30:15"
"CIL Nova Petrochemicals Limited","27100000","20192292","    74.51","6907708","4082450","    20.22","    15.06","09-Apr-2021 11:30:33","4969098","26643726","18.65","09-Apr-2021 11:30:33"
"CMI Limited","15027457","6605995","    43.96","8421462","0","     0.00","     0.00","09-Apr-2021 11:30:34","369383","14721011","2.51","09-Apr-2021 11:30:34"
"CRISIL Limited","72593290","48732586","    67.13","23860704","0","     0.00","     0.00","09-Apr-2021 11:30:04","3292912","72608343","4.54","09-Apr-2021 11:30:04"
"Cadila Healthcare Limited","1023742600","766534434","    74.88","257208166","0","     0.00","     0.00","09-Apr-2021 11:30:19","5284582","1020982443","0.52","09-Apr-2021 11:30:19"
"California Software Company Limited","15457106","5132972","    33.21","10324134","0","     0.00","     0.00","09-Apr-2021 11:30:19","180200","15358896","1.17","09-Apr-2021 11:30:19"
"Cambridge Technology Enterprises Limited","19631015","9756937","    49.70","9874078",,,,"09-Apr-2021 11:30:26","618304","18976221","3.26","09-Apr-2021 11:30:26"
"Camlin Fine Sciences Limited","127498471","27570456","    21.62","99928015","0","     0.00","     0.00","09-Apr-2021 11:30:33","6998051","126155096","5.55","09-Apr-2021 11:30:33"
"Can Fin Homes Limited","133154125","39930365","    29.99","93223760","0","     0.00","     0.00","09-Apr-2021 11:30:11","11278271","131289140","8.59","09-Apr-2021 11:30:11"
"Canara Bank","1646738220","1141709678","    69.33","505028542","0","     0.00","     0.00","09-Apr-2021 11:30:20","34768530","1639568028","2.12","09-Apr-2021 11:30:20"
"Cantabil Retail India Limited","16327608","12142433","    74.37","4185175","0","     0.00","     0.00","09-Apr-2021 11:30:31","667340","16327293","4.09","09-Apr-2021 11:30:31"
"Capacit'e Infraprojects Limited","67891497","29728846","    43.79","38162651","5000000","    16.82","     7.36","09-Apr-2021 11:30:35","6619149","67891490","9.75","09-Apr-2021 11:30:35"
"Caplin Point Laboratories Limited","75642750","52214192","    69.03","23428558","0","     0.00","     0.00","09-Apr-2021 11:30:33","1451630","73370190","1.98","09-Apr-2021 11:30:33"
"Capri Global Capital Limited","175285355","131242538","    74.87","44042817","0","     0.00","     0.00","09-Apr-2021 11:30:31","514932","175259945","0.29","09-Apr-2021 11:30:31"
"Carborundum Universal Limited","189465326","79648245","    42.04","109817081","15000","     0.02","     0.01","09-Apr-2021 11:30:07","3017462","187505277","1.61","09-Apr-2021 11:30:07"
"Career Point Limited","18192939","11559187","    63.54","6633752","0","     0.00","     0.00","09-Apr-2021 11:30:31","691298","18192938","3.8","09-Apr-2021 11:30:31"
"Castex Technologies Limited","378122838","177182272","    46.86","200940566","118130241","    66.67","    31.24","09-Apr-2021 11:30:23","120923362","377330854","32.05","09-Apr-2021 11:30:23"
"Castrol India Limited","989122384","504452416","    51.00","484669968","0","     0.00","     0.00","09-Apr-2021 11:30:33","12358330","980203272","1.26","09-Apr-2021 11:30:33"
"Celebrity Fashions Limited","47768005","19976325","    41.82","27791680","13097987","    65.57","    27.42","09-Apr-2021 11:30:23","14696017","47767840","30.77","09-Apr-2021 11:30:23"
"Celestial Biolabs Limited","22586350","5888963","    26.07","16697387","0","     0.00","     0.00","09-Apr-2021 11:30:27","274401","20205139","1.36","09-Apr-2021 11:30:27"
"Central Bank of India","5875562460","5275014715","    89.78","600547745","0","     0.00","     0.00","09-Apr-2021 11:30:27","39905952","5875435695","0.68","09-Apr-2021 11:30:27"
"Centrum Capital Limited","416032740","178177812","    42.83","237854928","78259180","    43.92","    18.81","09-Apr-2021 11:30:35","109617133","414406580","26.45","09-Apr-2021 11:30:35"
"Centum Electronics Limited","12884781","7576478","    58.80","5308303","0","     0.00","     0.00","09-Apr-2021 11:30:27","742567","12776025","5.81","09-Apr-2021 11:30:27"
"Century Enka Limited","21850589","5418048","    24.80","16432541","0","     0.00","     0.00","09-Apr-2021 11:30:08","1220863","20120384","6.07","09-Apr-2021 11:30:08"
"Century Extrusions Limited","80000000","41628649","    52.04","38371351","0","     0.00","     0.00","09-Apr-2021 11:30:21","989308","79244572","1.25","09-Apr-2021 11:30:21"
"Century Plyboards (India) Limited","222172990","162291858","    73.05","59881132","0","     0.00","     0.00","09-Apr-2021 11:30:24","1506989","221741302","0.68","09-Apr-2021 11:30:24"
"Century Textiles & Industries Limited","111695680","56077970","    50.21","55617710","0","     0.00","     0.00","09-Apr-2021 11:30:08","5224336","110245040","4.74","09-Apr-2021 11:30:08"
"Cera Sanitaryware Limited","13005874","7085139","    54.48","5920735","0","     0.00","     0.00","09-Apr-2021 11:30:28","93725","12813574","0.73","09-Apr-2021 11:30:28"
"Cerebra Integrated Technologies Limited","121186482","8603219","     7.10","112583263","0","     0.00","     0.00","09-Apr-2021 11:30:33","13603577","114022168","11.93","09-Apr-2021 11:30:33"
"Chalet Hotels Limited","205023864","146902680","    71.65","58121184","47023720","    32.01","    22.94","09-Apr-2021 11:30:35","47912403","205023864","23.37","09-Apr-2021 11:30:35"
"Chambal Fertilizers & Chemicals Limited","416207852","251918165","    60.53","164289687","48759144","    19.36","    11.72","09-Apr-2021 11:30:07","52537203","401712793","13.08","09-Apr-2021 11:30:07"
"Chennai Petroleum Corporation Limited","148911400","100198100","    67.29","48713300","0","     0.00","     0.00","09-Apr-2021 11:30:19","4083440","147813966","2.76","09-Apr-2021 11:30:19"
"Cholamandalam Financial Holdings Limited","187717982","91614399","    48.80","96103583","33200","     0.04","     0.02","09-Apr-2021 11:30:35","2128418","186629991","1.14","09-Apr-2021 11:30:35"
"Cholamandalam Investment and Finance Company Limited","819679219","423297948","    51.64","396381271","0","     0.00","     0.00","09-Apr-2021 11:30:14","3082352","819006909","0.38","09-Apr-2021 11:30:14"
"Chromatic India Limited","71046100","9173305","    12.91","61872795","0","     0.00","     0.00","09-Apr-2021 11:30:33","814682","70790205","1.15","09-Apr-2021 11:30:33"
